Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Spring Cloud Load Balancing,"What is load balancing, why do you need it in Spring Cloud, and how can you implement it? In this course, Cecili Reid answers all these questions and more. Cecili goes over the basics of both internal and external load balancing in Google Cloud Platform (GCP), then dives into the global external HTTP(S) load balancer, including instance templates, health checks, and instance groups. She also explains how to set up the load balancer and send traffic to it.",Course,2022-08-07 22:20 UTC,N/A,false,N/A,
Building and Maintaining Your UX Design Portfolio,"Building and maintaining a compelling user experience design portfolio isn't easy. In this course, Diane Cronenwett offers real-world advice to make your portfolio stand out from the crowd. Learn how to create a portfolio ... even if you've never worked in a UX job before. Understand the elements of a strong UX portfolio. Find out what happens during a portfolio review—and get tips for incorporating storytelling into a presentation.<br><br>

This short course contains everything you need to kick-start a career in UX and find a UX job in any startup or established corporation.",Course,2020-12-25 17:28 UTC,N/A,false,N/A,
Python for Non-Programmers,"Did you know that learning Python is one of the easiest ways to learn to code? It’s true. And in this course you can avoid the jargon and make learning how to code a lot more fun. You don’t have to be an expert technician, either. Join instructor Nick Walter and find out what you need to get started now.<br><br>In this course, Nick teaches the fundamentals of Python to you: a non-programmer, a user with little to no coding experience. Learn more about what Python is, and what it is and isn’t used for. Explore how Python works with numbers and how you can interact with simple programs such as a simple number-guessing game. Find out how to work with text in Python by building a reusable function to count the words in a block of text. And along the way, tackle quick challenges and other games that allow you to put your new skills to the test.",Course,2022-02-20 01:48 UTC,N/A,false,N/A,
SPSS for Academic Research,"Explore how to run tests for academic research with SPSS, the leading statistical software. In this course, Yash Patel dives into SPSS, focusing on how to run and interpret data for the most common types of quantitative tests. Topics include t-tests, analysis of variance (ANOVA), and understanding the statistical measurements behind academic research. Review the tenants of qualitative testing, including the central theorem, P values, and confidence intervals, and specific use cases for tests in SPSS. For each type, Yash provides some general guidelines and assumptions, along with a challenge and solution exercise to practice what you've learned.",Course,2020-04-26 21:10 UTC,N/A,false,N/A,
Learning React.js,"React.js is designed to make the process of building modular, reusable user interface components simple and intuitive. In this course, Eve Porcello guides you through the foundations of React development, including the use of React hooks—a new feature starting in React 16.8 that allows developers to add functionality to components without writing classes. Eve shows how to create components, display dynamic data with properties, and render components using JSX syntax.  Eve also manages the state of components with hooks; uses powerful React enhancements, such as the useEffect hook for loading remote data; and leverages cloud deployment options for apps created with create-react-app.<br><br>
 
This course was created by Eve Porcello. We are pleased to offer this training in our library.",Course,2021-11-26 22:08 UTC,N/A,false,N/A,
Excel for Accountants,"Become a better accountant, bookkeeper, or financial analyst with Microsoft Excel. Excel can be used for profit-and-loss (P&L) reporting, forecasting sales, business valuation, quickly analyzing data from programs like QuickBooks, and more. This course shows you how to perform key accounting tasks in Excel, including small business and corporate record-keeping, and importing and exporting data from QuickBooks to Excel. Professor Michael McDonald shows how to record transactions in a general ledger, categorize expenses for taxes, track business performance, use key financial statements, and do a business valuation. The course is for working professionals and business students alike, with short, focused lessons to give you maximum learning in the minimum amount of time.",Course,2020-05-23 11:19 UTC,N/A,false,N/A,
Learning Excel Desktop (Office 365/Microsoft 365) (2018),"Looking to get started with Microsoft Excel? This beginner-level course can help. Join instructor David Rivers as he introduces new users to the fundamentals of Excel. David covers how to create new workbooks, add and format numbers and text, work with basic formulas and functions, and leverage key features such as AutoFill, which allows you to quickly fill new cells using existing cells where there is a pattern. Plus, learn how to insert charts, quickly share your spreadsheets with others, and more.",Course,2021-08-31 16:28 UTC,2021-06-10 22:04 UTC,true,N/A,
The Art of Rotoscoping,"Turn your video footage into a work of art. Learn the basics of rotoscoping to build creative effects and to isolate video elements for compositing or VFX. In this course, instructor and mograph artist Eran Stern starts by diving the history and origin of rotoscoping in film and video, providing the background for subsequent practical techniques. He shows how to transform video into natural art—from pencil sketches to Van Gogh paintings, claymation to chalkboard drawings, watercolors to graffiti, and ink blots, Legos, comic books, pastels, and much more. You can also find out how to use the same foundational techniques to isolate elements for compositing and visual effects work, and create simple character animations. Plus, explore the different software for rotoscoping, from Photoshop and After Effects to professional applications such as Mocha AE.",Course,2020-12-31 18:37 UTC,N/A,false,N/A,
Machine Learning with Scikit-Learn,"The ability to apply machine learning algorithms is an important part of a data scientist’s skill set. scikit-learn is a popular open-source Python library that offers user-friendly and efficient versions of common machine learning algorithms. In this course, data scientist Michael Galarnyk explains how to use scikit-learn for supervised and unsupervised machine learning. Michael reviews the benefits of this easy-to-use API and then quickly segues to practical techniques, starting with linear and logistic regression, decision trees, and random forest models. In chapter three, he covers unsupervised learning techniques such as K-means clustering and principal component analysis (PCA). Plus, learn how to create scikit-learn pipelines to make your code cleaner and more resilient to bugs. By the end of the course, you'll be able to understand the strengths and weaknesses of each scikit-learn algorithm and build better, more efficient machine learning models.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2022-01-25 02:25 UTC,N/A,false,N/A,
Six Sigma: Green Belt,"Six Sigma is a customer-focused, data-driven methodology that is widely used to analyze and improve the performance of processes, products, and services. In this course, get the training you need to become a Six Sigma Green Belt. Green Belts participate in—or lead—Six Sigma projects on a part-time basis under the guidance of a Black Belt. Operational excellence expert, master Black Belt trainer, and professor Dr. Richard Chua explains how to use Six Sigma and its process, quality, and statistical tools as he prepares you to become a Six Sigma Green Belt.<br><br>   

Note: Dr. Richard Chua builds upon his <i>Six Sigma Foundations</i> and <i>Learning Minitab</i> courses, and covers an array of topics, including measurement system analysis, descriptive statistics, hypothesis testing, design of experiments, statistical process control, and more.",Course,2021-11-18 18:46 UTC,N/A,false,N/A,
Learning C (2014),"C: released in 1973 but still at the center of it all. Get a quick introduction to the vocabulary and basics of programming in C, the language that inspired C++, Objective-C, and many others. Dan Gookin covers flow control, variables, and other ""getting started"" topics, but also introduces advanced concepts such as pointers and memory allocation. Challenge movies allow you to test your learning along the way.",Course,2019-05-03 08:20 UTC,N/A,false,N/A,
Python Functions for Data Science ,"Functions are a core building block of programming and working with data and an essential approach to making code more readable and reusable. In this course, discover how to save time and enhance your code using common functions for data science projects. Explore fundamental built-in Python functions for data science, as well as more advanced built-in functions such as the filter function in Python. Learn how to leverage functions from the NumPy and SciPy libraries to manipulate numerical data and perform statistical operations. Learn how to store, modify, and group data efficiently using functions from the pandas library. Get tips on using functions from the Matplotlib and Seaborn libraries for data visualization. Plus, get insights into common pitfalls and mistakes developers make when using functions as part of a data science initiative.",Course,2022-02-28 19:21 UTC,N/A,false,N/A,
Getting into the Mind of the Hiring Manager,"Even when technology plays a role in the hiring process, those systems are programmed by people who have their own ideas, biases, and assumptions about what makes a candidate the best fit for the role. Understanding the psychology of the job search can give candidates a distinct advantage. Career expert Dawn Graham explores the mind of the typical hiring manager, providing insight that can help candidates create a targeted job search strategy and land an offer.",Course,2021-02-24 02:45 UTC,N/A,false,N/A,
Creating Marketing Objectives,"Marketing objectives are the culmination of all of your marketing activities. But you must set concrete and measurable objectives to know whether you’ve successfully achieved your goals. This course explores the different between weak and strong objectives and ideas for types of objectives to set. It also includes a workshop that prepares you for drafting marketing objectives for your own business. Types of objectives explored include pricing, awareness and branding, social media, site traffic, sales growth, market share, and more.<br><br>This course was created by EntrepreneurNOW. We are please to offer this training in our library.",Course,2022-03-09 14:24 UTC,N/A,false,N/A,
Rock Your LinkedIn Profile,"Explore how to create a LinkedIn profile that brings your personal career story to life, whether you’re just starting out, seeking to advance, or making a career change. Instructor Lauren Jolda—head of the ""Rock Your Profile"" team at LinkedIn—offers tips on tailoring each section, starting with the key insight that a LinkedIn profile is unique and shouldn’t be approached exactly like a resume. Lauren covers ways to add media to a profile, methods for showcasing your career accomplishments and aspirations, and specific examples of profile phrases and language that can help inspire your personal story.",Course,2022-03-04 00:24 UTC,N/A,false,N/A,
Personal Finance Nano Tips with Brittney Castro,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. Are you looking to learn the finance skills they didn't teach you in high school, but that every adult needs to know? Join financial planner Brittney Castro as she provides some quick tips that can help you with basic finance issues like cutting out unnecessary expenses and making a budget, to topics like sorting capital gains and investing in crypto currencies.",Course,2022-06-22 16:33 UTC,N/A,false,N/A,
Excel: Creating a Basic Dashboard,"In this course, instructor Curt Frye shows you how to summarize spreadsheet data effectively to support decision-making throughout your organization. Curt explains how to set up a supporting workbook, including how to manage and filter data, streamline charts for dashboards, and create sparklines. He also goes over the process of creating a dashboard worksheet. Curt covers creating and managing cell links, using PivotTable data in a formula, extending your dashboard with hidden rows, and more.",Course,2022-02-24 08:32 UTC,N/A,false,N/A,
SharePoint Online Essential Training: The Basics,"In this course, Gini von Courter demonstrates the essential skills you need to work with SharePoint Online. Gini covers essential features such as log in, navigation, use of team and communication sites, editing and coauthoring documents, working with lists, integration with Microsoft 365, and document storage. She begins with basics like logging in and using the start page, then jumps into navigation, permissions, editing your profile, searching in SharePoint Online, posting news, and much more. Gini walks you through using the document library in SharePoint Online, as well as opening, editing, and saving a document. She shows you how to manage documents, view versions, share files, and more. Gini goes over how to use list apps in SharePoint, then finishes up with useful advice on integrating SharePoint Online with Teams and Outlook.",Course,2022-04-08 01:27 UTC,N/A,false,N/A,
Database Foundations: Intro to Databases,"What is a database? How can you build one? Do you want to learn more? In this course, database expert Adam Wilbert shows you how to set up container-based servers, connect a management GUI, and start building a database for your valuable data. You don’t need to come with any specific prior knowledge or have any specific software pre-installed. This course’s content is applicable to learners on any operating system. Learn about how to set up a database playground, how to include a user-friendly graphical interface, how to create table objects, how to add data to a table, and how to retrieve and manipulate data. The course includes exercise files so that learners can practice executing the same commands shown on screen. At the conclusion of the course, Adam shares some ideas for continuing your learning journey.",Course,2021-09-04 03:56 UTC,N/A,false,N/A,
LinkedIn Learning Highlights: Data Science and Analytics,"In the growing field of data science, there's always something new to learn. And whether you're looking to break into this exciting field—or just keep your data science and analytics skills sharp—LinkedIn Learning has courses that can help. Enjoy this selection of curated highlights from our very best data science courses. Dive into the basics of data ethics and privacy. Learn how to work with data analytics platforms and tools, help others visualize data, and apply advanced knowledge of machine learning, deep learning, and neural networks. Plus, discover how to solve problems by working with tools like R, Python, and SQL, explore business intelligence and Power BI, and more.",Course,2022-07-04 01:26 UTC,N/A,false,N/A,
Python Code Challenges ,"Want to test your Python skills? These concise challenges let you stretch your brain and test your talents. Instructor Barron Stone shares over a dozen Python challenges, as well as his own solutions to each problem—the majority of which are less than two dozen lines of code. You can tackle each problem using the tools in the Python standard library, or opt for the library of your choice. And since each challenge is self-contained, you can complete the course in any order—and at your own pace. Tune in to get the hands-on practice you need to keep your skills sharp.",Course,2022-04-03 04:29 UTC,N/A,false,N/A,
SQL Tips and Tricks for Data Science,"Get Ben Sullins's 12 must-have SQL techniques for data science pros—engineers, DevOps, data miners, programmers, and other systems specialists. Ben's tips focus on practical applications of SQL queries for data analysis. Learn how to retrieve data, join tables, calculate rolling averages and rankings, work with dates and times, use window functions, aggregate and filter data, and much more. Each tip is short, relevant, and up to date with current industry best practices—making this the perfect course for busy analysts who normally struggle to find time to build their skills.",Course,2022-08-17 06:22 UTC,N/A,false,N/A,
Writing a Tech Resume,"When you apply for technology jobs, your resume is your opportunity to stand out from the crowd. Emma Bostian shows you how to showcase your technology skills, framing them to impress recruiters and potential employers. Discover how to tailor the content and length to catch a hiring manager’s eye. Learn how to leverage minor design details like spacing, font choice, and color palette to differentiate your resume from the rest, without stepping too far out. Plus, learn how to create a professional online presence on the platforms tech recruiters use most: LinkedIn and GitHub.",Course,2021-10-11 13:25 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-09-30 02:13 UTC,N/A,false,N/A,
SYNCHRO 4D: Visual Scheduling,"4D construction offers a focus on construction sequencing that helps you plan and monitor your project more effectively. This course teaches you 4D scheduling, using SYNCHRO 4D software. It steps you through the most essential and commonly used tools to get started with 4D planning. The course introduces you to the SYNCHRO 4D user interface; how to move, resize, and snap different windows; and how to save your placements for future quick access. It covers creating or importing a construction schedule, importing 3D models and assigning them to the schedule, using tools to make your process more efficient, optimizing the data, and generating output as a report or animation for analysis and decision making.
<br><br>
Note: This course was created by Bentley Systems. We are pleased to host this training in our library.",Course,2022-02-11 00:07 UTC,N/A,false,N/A,
How to Use Rejection to Your Advantage,"1000 characters or less, including spaces
Rejection can feel like a gut punch when it happens. But what if you could take a moment to process and then use rejection as inspiration for your professional success? In this audio-only course adapted from the <i>Modern Mentor</i> podcast, Rachel Cooke teaches you how to turn rejection into fuel for future success by showcasing how to process rejection and act on feedback. Rachel shares practical advice to help you improve your confidence, craft your narrative, expand your skills, process constructive feedback, and demonstrate accountability.
<br><br>
This course was created by Macmillan Publishers. We are pleased to offer this training in our library.",Course,2022-02-16 17:24 UTC,N/A,false,N/A,
Starting a Memorable Conversation,"<div><a href=""https://www.linkedin.com/newsletters/6765070600055635968?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Tatiana's LinkedIn Newsletter</a></div><br>Both in business and personal life, having the skill to approach a stranger or strike up a conversation with an acquaintance in a new context can be very useful. Memorable conversations can open doors and change career trajectories, but being the person to speak first doesn’t come naturally to all of us. In this course, author Tatiana Kolovou shares a formula for starting meaningful exchanges in any situation and teaches how to conduct an appropriate and memorable conversation. You can also learn about how to avoid common difficulties and find the right way to end a conversation.",Course,2022-05-01 21:54 UTC,N/A,false,N/A,
Developing Your Emotional Intelligence,"<div><a href=""https://www.linkedin.com/newsletters/6661628561960558592?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Gemma's LinkedIn Newsletter</a></div><br>Emotional intelligence can help you build effective relationships at work. Executive coach and organizational psychologist Gemma Roberts explains what emotional intelligence (EQ) is and why it's important. She helps you become more self-aware so that you can identify triggers that may hijack your performance. Gemma also helps you align your intentions and your impact so that you can build strong and collaborative relationships.",Course,2022-08-16 16:59 UTC,N/A,false,N/A,
Introduction to Data Science,"The world of data science is reshaping every business. There is no better time to learn it than now. In this Madecraft course, Python trainer and data scientist Lavanya Vijayan shares what data science is and how it differs from other information-focused disciplines. She then dives into the workflow—the life cycle of data science—and introduces the data scientist’s toolset, from programming languages and specialized libraries to productivity tools like Jupyter Notebooks. In the following chapters, Lavanya focuses on practical techniques such as exploratory data analysis, data cleaning, and data visualization. Finally, learn about sampling, testing, and classification. By the end of the course, you will have the knowledge you need to perform basic data analysis and reporting, and unlock opportunities to accelerate your career in this exciting field.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2022-06-15 20:20 UTC,N/A,false,N/A,
Apple Watch Tips and Tricks,"Apple Watch has evolved. The latest watchOS makes it even more convenient to manage messages, activities, and notification directly from your device. But even if you wear one daily, you might not be using all of its most helpful features. Get the most out of your Apple Watch with these practical tips and tricks. Garrick Chow explores the features and capabilities of the latest Apple watchOS, including messaging, app management, voice control with Siri, staying fit and safe, and other valuable pointers. He also shows how to customize your unlock settings and haptic strength, so the Apple Watch responds perfectly to your touch.",Course,2021-05-08 06:19 UTC,N/A,false,N/A,
SQL: Data Reporting and Analysis (2019),"Do you rely on IT to get the data you need? Are you often stuck waiting in line for data, and wish you could just retrieve it yourself? In this course, learn how to get the data you want by writing a bit of SQL code. You won't just be able to pull data out of the database; you'll be able to manipulate it: merging it, grouping it, and relabeling it to get just the report you want. Join Emma Saunders as she shows how to write simple SQL queries for data reporting and analysis using a publicly accessible online database. Learn how to filter, group, and sort data, using built-in SQL functions to format or calculate results. Discover how to perform more complex queries, such as joining data together from different database tables. Last but not least, she introduces views, procedures, functions, and variables.",Course,2021-09-11 15:58 UTC,N/A,false,N/A,
Applied Machine Learning: Feature Engineering ,"The quality of the predictions coming out of your machine learning model is a direct reflection of the data you feed it during training. Feature engineering helps you extract every last bit of value out of data. This course provides the tools to take a data set, tease out the signal, and throw out the noise in order to optimize your models. The concepts generalize to nearly any kind of machine learning algorithm. Instructor Derek Jedamski provides a refresher on machine learning basics and a thorough introduction to feature engineering. He explores continuous and categorical features and shows how to clean, normalize, and alter them. Learn how to address missing values, remove outliers, transform data, create indicators, and convert features. In the final chapters, Derek explains how to prepare features for modeling and provides four variations for comparison, so you can evaluate the impact of cleaning, transforming, and creating features through the lens of model performance.",Course,2022-02-14 07:48 UTC,N/A,false,N/A,
Empathy for Sales Professionals,"Empathy is a key skill for creating deeper connections and relationships—the building blocks of sales. With empathy, salespeople can achieve a deeper understanding of what prospects are going through and connect better with existing customers. In this course, workforce innovation specialist Sophie Wade quantifies the effect of empathy on sales and shows sales leaders how to incorporate empathy into the management and training of sales teams. Learn how to use empathy to distribute responsibility and improve team performance, and help your reps deepen customer relationships and increase sales. Sophie also shows how to improve empathy on a division-wide level by creating conditions that help an open-minded, empathetic organization thrive.",Course,2021-09-02 03:18 UTC,N/A,false,N/A,
C++: Move Semantics,"Dive deeper into C++ with move semantics, a key component of C++ resource management. Move semantics allow you to optimize the transfer of data and reallocate memory without extra copy operations. In this course, Bill Weinman helps you understand rvalues (temporary values that are the key to move semantics); create move constructors and operations; and use the copy-and-swap idiom to ""swap in"" new data while destroying the old.",Course,2019-02-16 04:14 UTC,N/A,false,N/A,
Project Management Foundations,"<div><a href=""https://www.linkedin.com/newsletters/6767151075767197696?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Bonnie's LinkedIn Newsletter</a></div><br>Project management is a set of techniques that anyone can apply to achieve goals and make projects more successful. Project management can be used to guide small, simple projects as well as complex enterprise-wide initiatives. Bonnie Biafore has always been fascinated by how things work and how to make things work better. In this course, she explains the fundamentals of project management, from establishing project goals and objectives and building a project plan to managing resources and work, meeting deadlines, and closing the project. Along the way, she provides tips for communicating, holding meetings, keeping a project on track, and gaining customer acceptance. This course provides exercises for most videos based on a healthcare/IT case study project.",Course,2020-05-29 03:22 UTC,N/A,false,N/A,
Professional Networking for Career Starters,"Connect to opportunity. Learn how to build and engage a network when you're just starting out in your career. Jayla Hill explains how networking can help you build professional relationships, explore different interests, and connect with a wide range of people—even if you don't have an established profession. She provides tips for making connections, fostering them, finding a mentor, and even mentoring others. Plus, learn how to ask for informational interviews, request job referrals, and stay in touch with your connections over time. Using these invaluable lessons, you can build a healthy and diverse network that can launch and lead you to success in the professional world.",Course,2022-01-23 22:29 UTC,N/A,false,N/A,
Learning Python,"Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2022-03-29 14:45 UTC,N/A,false,N/A,
Improving Your Focus,"In our hectic world, time management alone doesn't cut it. To truly increase your efficiency, it's crucial that you improve your focus as well as tend to your calendar. In this course, productivity expert and best-selling author Dave Crenshaw helps you develop the survival skills to both avoid daily distractions and stay focused on what's most valuable. Curate your digital and physical space to strengthen concentration, discover ways to keep your mind on task, and protect your relationships—both at work and at home—by focusing on what's most important.",Course,2022-07-21 18:33 UTC,N/A,false,N/A,
"Power BI Data Visualization and Dashboard Tips, Tricks, & Techniques","Power BI is a software that lets users visualize and report data flexibly and share it in a number of ways. It is rapidly gaining market share, as it is affordable and well-integrated with other Microsoft tools. In this course, instructor Emma Saunders shows you how you can use Power BI to create reports and visualizations with flair and share them easily with colleagues. Emma explains the Power BI app (desktop) and service (web browser). She takes you through a sample report to show how it’s built, then goes over how and why to design and structure a report, including how to structure tabs, how many visuals to put on a page, and how to draw attention to one visual over another. Emma covers more advanced visuals, as well, including statistical diagrams and maps for geographic data. She walks you through how to design reports like a pro in the Power BI service, from basic layouts to choosing specific themes and fonts.",Course,2022-07-20 04:52 UTC,N/A,false,N/A,
Learning C++ Pointers,"Pointers are a type of variable that holds a memory address as its value. They are used to control memory allocation in resource-constrained applications. Pointers are surprisingly simple and incredibly valuable to developers who want to create smart, memory-efficient programs. Join staff instructor Peggy Fisher in these tutorials as she explores C++ pointers in depth. Learn how pointers differ from addresses and arrays, and how they are used to allocate memory both at program execution and as the program runs. Find out how to pass pointers as arguments to functions, and use the new and delete operators to assign memory dynamically. By the end of the course, you'll have a much better understanding of how to put C++ pointers to practical use in your own applications.",Course,2019-10-29 06:35 UTC,N/A,false,N/A,
Leading with Emotional Intelligence,"Emotions are all around us in the office, and it's important for leaders to understand how to harness them to cultivate productivity and positive relationships. In this course, Britt Andreatta shares how to boost your emotional quotient (EQ) to better lead teams, work with peers, and manage up. Learn what emotional intelligence is and how it factors in at work, and discover concrete techniques for raising your own EQ. This includes perceiving yourself accurately, exercising emotional self-control, understanding and managing your triggers, and developing empathy. Then, turn those lessons around to build your awareness of others and become a more inspiring—and effective—leader.",Course,2021-05-24 16:54 UTC,N/A,false,N/A,
Python Quick Start,"Get a fast-paced introduction to Python. In this course, you can learn what Python is and why it's become such a powerful and in-demand programming language. Python expert and trainer Lavanya Vijayan shares the fundamentals of programming in Python with data types, variables, functions, sequences, conditional statements, iteration, and recursion. The course concludes with a short introduction to object-oriented programming in Python. Learning a new programming language shouldn't be hard; with this course, you can learn the basics you need to become proficient in Python, and decide if it’s the right language for your projects.<br><br>

This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2021-06-12 16:18 UTC,N/A,false,N/A,
Hands-On Data Science: 1 Analyzing Employee Data with SQL,"If you’re interested in working in the field of data or looking to advance in the field, you need a foundational knowledge of several key areas of data science. Not only that, you need to be able to demonstrate that knowledge. In this four-part, hands-on series, Ben Sullins shows how to build four distinct data science projects using SQL, Tableau, Python, and Spark. In this first installment, Ben uses SQL to analyze employee data, which is notoriously difficult to analyze given its structure. He breaks down the specific structure of employee data, and the best way to track this kind of information, then covers how you can start answering specific questions utilizing SQL. Finally, he gives advice on how to present your data, considering both your audience and the visuals you use, in order to convey your knowledge of the subject.
<br><br>
Note: This course was created by Free the Data Academy. We are pleased to host this training in our library.",Course,2022-03-23 18:22 UTC,N/A,false,N/A,
Statistics Foundations: 3,"Statistics are everywhere, in every industry, but they're a must for anyone working in data science, business, or business analytics. If you're in one of these specialized fields, chances are you need an advanced understanding of statistics. Complete your mastery in this course, part 3 of our <em>Statistics Fundamentals</em> series. Eddie Davila covers concepts such as small sample sizes, <em>t</em>-distribution, degrees of freedom, chi-square testing, and more.  This advanced skills training moves learners into the practical study and application of experimental design, analysis of variance, population comparison, and regression analysis. Use these lessons to go beyond the basics and dive deeper into the specific factors that influence your own calculations and results.",Course,2022-03-14 04:34 UTC,N/A,false,N/A,
Unit Testing in Python,"Unit testing—which involves testing small, isolatable pieces of code—can help you catch and fix bugs before they crop up in your final product. And by adopting test-driven development (TDD) and writing unit tests before production code, you can take even greater responsibility for your project's quality. Curious about how to best approach unit testing in your own Python projects? This course shows you how. Join instructor Jasmine Omeke as she goes over TDD techniques for Python projects using the pytest testing framework and a Docker container.<br/><br/>Jasmine begins by providing a basic overview of both TDD and pytest as she shows how to write a basic test. She then delves into how to use pytest features to automatically run unit tests, as well as how to best organize your pytest projects. Then, see how to hop into an existing project and use pytest tests to figure out the core behavior of the source code, determine which source code functions still need to be tested, and add in more tests.",Course,2022-08-01 16:20 UTC,N/A,false,N/A,
Excel: Tips and Tricks,"Want to take your Excel game to the next level? In this course, veteran Excel trainer and instructor Dennis Taylor shares powerful tips, tricks, and shortcuts that can help you leverage more of what Excel has to offer. Learn time-saving tricks for creating formulas rapidly, accelerating data entry, and navigating within worksheets efficiently. Plus, discover drag and drop techniques, formatting shortcuts, charting and PivotTable tips, and much more.</br></br>

Note: This course was recorded on Excel for Office 365; however, most of the contents will benefit anyone using Office 2019 or 2016.",Course,2019-08-18 20:23 UTC,N/A,false,N/A,
Critical Thinking for Better Judgment and Decision-Making,"The pace of change and volume of information we encounter in daily life make it hard to think through decisions. Instead, people often rely on biases and rules of thumb, which trap them into drawing faulty conclusions. The most successful teams use critical thinking—objective and rational analysis—to illuminate the wisest conclusions. This course prepares leaders to hone the critical thinking skills of their entire organization. Learn how to upgrade critical thinking to avoid deceiving fallacies, spot misleading cognitive biases, craft better arguments, hone judgment, and improve decision-making. Instructor Becki Saltzman teaches skills that will improve how your company or team innovates, tackles challenges, and responds to change.",Course,2021-04-24 03:53 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2020-12-09 19:30 UTC,N/A,false,N/A,
Test-Driven Development in C++,"Every software developer wants to ship high-quality applications. Test-driven development (TDD) is a key discipline that can help you enhance your development process—and, in turn, your code base—by ensuring that crashes and bugs are addressed early on. In this course, join Richard Wells as he covers unit testing and TDD for C++ projects. Richard provides an overview of both unit testing and TDD, explaining why both are crucial for developers. He also shows how to set up your development environment for TDD and goes over the Google Test C++ unit-testing framework. Throughout the course, he shares best practices and provides examples and test cases that can help you gain a practical understanding of TTD in C++.",Course,2019-04-26 11:43 UTC,N/A,false,N/A,
Becoming a Product Manager: A Complete Guide,"What does a product manager actually do? What kind of product manager roles are out there, and how do they differ from project management? In this course, get answers to those questions—and more—as you learn about the different tools and techniques needed to successfully coordinate all aspects of product development. Instructors Cole Mercer and Evan Kimbrell go over the major phases of the product lifecycle and discuss how approaches like agile, scrum, and kanban actually work in real-world situations. Plus, learn how to address real user needs, approach customer development, run MVP experiments, sketch out mobile apps, work with your stakeholders, and much more.",Course,2020-06-12 06:24 UTC,N/A,false,N/A,
Training Neural Networks in C++,"Learn about the purpose, structure, and training process of neural networks to improve your machine learning skills. In this project-based course, instructor Eduardo Corpeño teaches you how to create an intelligent system with a neural network from scratch in C++, as well as how to choose the right neural network architecture and training method for each problem. Eduardo starts by explaining the difference between a neural network and other programming tools. He goes over why this course uses C++ and how to add different types of neural networks to your toolbox. The inspiration for artificial neural networks is the brain, and Eduardo relates parts of a biological neuron to C++ elements, then shows how to use activation functions and perceptrons in building neuron models. Eduardo covers the steps you will need to build and train your network. He explains segment display recognition, then guides you through designing and training your own SDR neural network.",Course,2022-02-07 19:49 UTC,N/A,false,N/A,
